cell_id	method_family	what_this_method_produces	framework	requirement	what_the_requirement_asks_for	EXPERT_CODE (primary / supporting / contextual / not-applicable)	CONFIDENCE (high / medium / low)	EXPERT_COMMENT (optional, esp. if you disagree)
C001	M1 Performance & benchmarking	Held-out/benchmark test results and accuracy/performance metrics.	EU AI Act	Article 15 accuracy/robustness/cybersecurity	Achieve appropriate accuracy, robustness, and cybersecurity.	supporting	high	Accuracy yes; cyber not really covered.
C002	M1 Performance & benchmarking	Held-out/benchmark test results and accuracy/performance metrics.	ISO/IEC 42001	A.6.2.6 operation & monitoring	Operate and monitor the system in production (drift, degradation, anomalies).	contextual	high	Benchmark baseline, not production monitoring.
C003	M1 Performance & benchmarking	Held-out/benchmark test results and accuracy/performance metrics.	ISO/IEC 42001	A.7 data for AI systems	Manage data resources (provenance, quality, preparation) for AI.	contextual	medium	Only a weak signal about data quality.
C004	M1 Performance & benchmarking	Held-out/benchmark test results and accuracy/performance metrics.	NIST AI RMF	MEASURE 2.3 performance/accuracy	Measure and document accuracy/performance under deployment-like conditions.	primary	high	
C005	M1 Performance & benchmarking	Held-out/benchmark test results and accuracy/performance metrics.	NIST AI RMF	MEASURE 2.6 safety	Evaluate the system’s safety (harm propensity, dangerous behavior).	contextual	medium	Too generic unless safety metrics are included.
C006	M1 Performance & benchmarking	Held-out/benchmark test results and accuracy/performance metrics.	NIST AI RMF	MANAGE function	Allocate resources, prioritize risks, and implement/monitor risk responses over time.	contextual	high	Useful input for prioritization, not evidence of MANAGE itself.
C007	M10 Human oversight	Human-oversight studies: appropriate reliance, intervention, automation-bias evidence.	NIST AI RMF	GOVERN function	Organizational policies, roles, accountability, and risk-management culture for AI.	supporting	medium	Depends how governance assigns human review.
C008	M10 Human oversight	Human-oversight studies: appropriate reliance, intervention, automation-bias evidence.	ISO/IEC 42001	A.5 assessing impacts	Assess and document the AI system’s impacts on people and society.	supporting	high	
C009	M10 Human oversight	Human-oversight studies: appropriate reliance, intervention, automation-bias evidence.	ISO/IEC 42001	A.6.2.4 verification & validation	Verify and validate the system against defined criteria before deployment.	supporting	high	
C010	M10 Human oversight	Human-oversight studies: appropriate reliance, intervention, automation-bias evidence.	NIST AI RMF	MANAGE function	Allocate resources, prioritize risks, and implement/monitor risk responses over time.	supporting	medium	Helps with oversight risk controls.
C011	M11 Post-deployment monitoring	Drift/runtime monitoring, logging, incident reports, continuous-assurance evidence.	EU AI Act	Article 11 technical documentation	Produce technical documentation (Annex IV) showing the requirements are met.	supporting	high	
