key,family,year,id,title
hendrycks2020mmlu,M1,2020,2009.03300,Measuring Massive Multitask Language Understanding
srivastava2023bigbench,M1,2023,2206.04615,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models
mitchell2019modelcards,M1,2019,1810.03993,Model Cards for Model Reporting
gebru2018datasheets,M1,2018,1803.09010,Datasheets for Datasets
wang2019superglue,M1,2019,1905.00537,SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems
li2024oodobustbench,M1,2024,2310.12793,OODRobustBench: a Benchmark and Large-Scale Analysis of Adversarial Robustness under Distribution Shift
le2024revisiting,M1,2025,2505.23854,Revisiting Uncertainty Estimation and Calibration of Large Language Models
lundberg2017shap,M1,2017,1705.07874,A Unified Approach to Interpreting Model Predictions
ribeiro2016lime,M1,2016,1602.04938,"""Why Should I Trust You?"": Explaining the Predictions of Any Classifier"
dong2023promptrobust,M1,2023,2306.04528,PromptRobust: Towards Evaluating the Robustness of Large Language Models on Adversarial Prompts
anil2024agentarch,M1,2025,2509.10769,AgentArch: A Comprehensive Benchmark to Evaluate Agent Architectures in Enterprise
song2025multidimensional,M1,2025,2511.14136,Beyond Accuracy: A Multi-Dimensional Framework for Evaluating Enterprise Agentic AI Systems
wang2023maps,M1,2025,2505.15935,MAPS: A Multilingual Benchmark for Agent Performance and Security
nist2023ai_rmf,M1,2023,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf,AI Risk Management Framework (AI RMF 1.0)
hendrycks2024haulaeval,M1,2026,2602.01031,HalluHard: A Hard Multi-Turn Hallucination Benchmark
hendrycks2019corruption,M3,2019,1903.12261,Benchmarking Neural Network Robustness to Common Corruptions and Perturbations
cohen2019certified,M3,2019,1902.02918,Certified Adversarial Robustness via Randomized Smoothing
hendrycks2019natural,M3,2021,1907.07174,Natural Adversarial Examples
arjovsky2019irm,M3,2019,1907.02893,Invariant Risk Minimization
koh2021wilds,M3,2020,2012.07421,WILDS: A Benchmark of in-the-Wild Distribution Shifts
carlini2016c2,M3,2016,1608.04644,Towards Evaluating the Robustness of Neural Networks
madry2018pgd,M3,2017,1706.06083,Towards Deep Learning Models Resistant to Adversarial Attacks
