cell_id,method_family,framework,requirement,first_pass_code,second_coder_code,agreed,final_adjudicated_code,adjudication_basis,second_coder_note
C001,M1 Performance & benchmarking,EU AI Act,Article 15 accuracy/robustness/cybersecurity,primary,primary,Y,primary,both coders agreed,Benchmark results directly evidence the named accuracy component.
C002,M1 Performance & benchmarking,ISO/IEC 42001,A.6.2.6 operation & monitoring,supporting,contextual,N,contextual,adopted second-coder (downgrade; less over-claiming),Benchmark results are not production monitoring evidence.
C003,M1 Performance & benchmarking,ISO/IEC 42001,A.7 data for AI systems,contextual,contextual,Y,contextual,both coders agreed,"Does not evidence data provenance, quality, or governance."
C004,M1 Performance & benchmarking,NIST AI RMF,MEASURE 2.3 performance/accuracy,primary,supporting,N,primary,"retained first-coder (rubric: relevance-type, not sufficiency)","Direct performance evidence, but deployment-like conditions are unstated."
C005,M1 Performance & benchmarking,NIST AI RMF,MEASURE 2.6 safety,contextual,contextual,Y,contextual,both coders agreed,Performance scores do not evaluate harmful behavior.
C006,M1 Performance & benchmarking,NIST AI RMF,MANAGE function,supporting,supporting,Y,supporting,both coders agreed,"Feeds risk prioritization, but is not the MANAGE process itself."
C007,M10 Human oversight,NIST AI RMF,GOVERN function,supporting,contextual,N,contextual,adopted second-coder (downgrade; less over-claiming),Oversight studies do not establish organizational governance.
C008,M10 Human oversight,ISO/IEC 42001,A.5 assessing impacts,supporting,supporting,Y,supporting,both coders agreed,"Helps assess human impacts, but is not a full impact assessment."
C009,M10 Human oversight,ISO/IEC 42001,A.6.2.4 verification & validation,supporting,supporting,Y,supporting,both coders agreed,One important form of validation evidence.
C010,M10 Human oversight,NIST AI RMF,MANAGE function,supporting,supporting,Y,supporting,both coders agreed,"Helps evaluate a risk response, but not the full MANAGE process."
C011,M11 Post-deployment monitoring,EU AI Act,Article 11 technical documentation,contextual,supporting,N,contextual,"retained first-coder (rubric: relevance-type, not sufficiency)",Monitoring evidence can support broader technical documentation.
C012,M11 Post-deployment monitoring,NIST AI RMF,GOVERN function,supporting,contextual,N,contextual,adopted second-coder (downgrade; less over-claiming),"Operational evidence does not establish policies, roles, or culture."
C013,M11 Post-deployment monitoring,ISO/IEC 42001,A.5 assessing impacts,supporting,supporting,Y,supporting,both coders agreed,Incidents and runtime evidence contribute to impact assessment.
C014,M11 Post-deployment monitoring,NIST AI RMF,MANAGE function,primary,supporting,N,supporting,adopted second-coder (downgrade; less over-claiming),"Strong monitoring evidence, but not the full MANAGE process."
C015,M12 Privacy evaluation,EU AI Act,Article 11 technical documentation,supporting,supporting,Y,supporting,both coders agreed,Privacy results can support broader technical documentation.
C016,M12 Privacy evaluation,EU AI Act,Article 15 accuracy/robustness/cybersecurity,supporting,primary,N,supporting,"retained first-coder (rubric: relevance-type, not sufficiency)",Inference and extraction attacks directly evidence cybersecurity resistance.
C017,M12 Privacy evaluation,NIST AI RMF,MEASURE 2.11 fairness & bias,contextual,contextual,Y,contextual,both coders agreed,Privacy risk evidence is not fairness or bias evidence.
C018,M2 Fairness & bias,ISO/IEC 42001,A.6.2.4 verification & validation,supporting,supporting,Y,supporting,both coders agreed,Fairness testing is one part of broader validation.
C019,M3 Robustness & distribution shift,EU AI Act,Article 10 data governance,contextual,contextual,Y,contextual,both coders agreed,Robustness testing does not evidence dataset governance itself.
C020,M3 Robustness & distribution shift,EU AI Act,Article 13 transparency,contextual,supporting,N,contextual,"retained first-coder (rubric: relevance-type, not sufficiency)","Results help describe capabilities, limits, and proper use."
C021,M3 Robustness & distribution shift,EU AI Act,Article 15 accuracy/robustness/cybersecurity,primary,primary,Y,primary,both coders agreed,Direct robustness evidence for the requirement.
